"id","old_findID","objecttype","broadperiod","institution","filename","imagedir"
809040,"HESH-E4B5D6","PENANNULAR RING","BRONZE AGE","HESH","HESHE4B5D6.jpg","images/preavill/"
807377,"WILT-247826","TORC","BRONZE AGE","WILT","2285p.jpg","images/cristinasanna/"
805967,"IOW-822572","PENANNULAR RING","BRONZE AGE","IOW","IOW20161277.JPG","images/fbasford/"
805442,"NMGW-39F32D","HOARD","BRONZE AGE","NMGW","DH007217_01.jpg","images/mlodwick/"
805153,"LVPL-25FCB6","BEAD","BRONZE AGE","LVPL","LVPL25FCB6.jpg","images/voakden/"
802377,"WMID-D5511E","FLAT AXEHEAD","BRONZE AGE","WMID","WMIDD5511E.jpg","images/hglenn/"
801909,"YORYM-80ADC9","ARMLET","BRONZE AGE","YORYM","2016T683.jpg","images/bmorris/"
801471,"SUSS-585B49","PENANNULAR RING","BRONZE AGE","SUSS","PenRingSUSS585B49.jpg","images/EdwinWood/"
800136,"BERK-5AC896","TORC","BRONZE AGE","BERK","BERK5AC896.jpg","images/rod/"
796973,"ESS-5ECCA2","PENANNULAR RING","BRONZE AGE","ESS","2016T592BAgoldpenannularring.jpg","images/slflynn/"
794252,"KENT-D13625","UNIDENTIFIED OBJECT","BRONZE AGE","KENT","KENTD13625.jpg","images/jjackson/"
791779,"BERK-BA8440","SHEET","BRONZE AGE","BERK","BERKBA8440.jpg","images/abyard/"
791556,"LANCUM-A5AF1B","HOARD","BRONZE AGE","LANCUM","LANCUMA5AF1B20.jpg","images/snoon/"
785872,"WMID-57EF80","PALSTAVE","BRONZE AGE","WMID","WMID57EF80.jpg","images/hglenn/"
785246,"WMID-306462","PALSTAVE","BRONZE AGE","WMID","WMID306462.jpg","images/hglenn/"
783818,"HAMP-5E48D1","ARMLET","BRONZE AGE","HAMP","HAMP5E48D1.jpg","images/khindshamp/"
783314,"DOR-324B57","TORC","BRONZE AGE","DOR","2003T19front.jpg","images/caht/"
776940,"IOW-2E1F7E","RIBBON","BRONZE AGE","IOW","2016T279.JPG","images/fbasford/"
774668,"WAW-FF1E9A","DIADEM","BRONZE AGE","WAW","WAWFF1E9Aa.jpg","images/abolton/"
774149,"SOM-AA390A","TORC","BRONZE AGE","SOM","SOMAA390A.jpg","images/elburnett/"
772847,"NMS-183C7E","PENANNULAR RING","BRONZE AGE","NMS","55070_183C7E_BA_PenannularRing.jpg","images/edarch/"
766384,"BERK-4A433E","PENANNULAR RING","BRONZE AGE","BERK","2016T106_image.jpg","images/abyard/"
762987,"GLO-F6A0EF","EAR RING","BRONZE AGE","GLO","GLOF6A0EF.jpg","images/kadams/"
760674,"CORN-E8DF11","HOARD","BRONZE AGE","CORN","Jan16finds138.JPG","images/atyacke/"
757467,"DUR-EC189D","PENANNULAR RING","BRONZE AGE","DUR","DUREC189Da.jpg","images/elliecox/"
755698,"LON-028741","MOUNT","BRONZE AGE","LON","AuBandLON028741.jpg","images/ksumnall/"
753657,"DEV-46BB26","UNIDENTIFIED OBJECT","BRONZE AGE","DEV","2015T901b.jpg","images/dwootton/"
753417,"HESH-33EA4A","FLAT AXEHEAD","BRONZE AGE","HESH","HESH33EA4A.jpg","images/vickyallnatt/"
752851,"BUC-EF04B8","TORC","BRONZE AGE","BUC","DSCN2794.JPG","images/rtyrrell/"
752504,"HAMP-C8DC02","TORC","BRONZE AGE","HAMP","HAMPC8DC02.jpg","images/khindshamp/"
749072,"CORN-7E0A41","AXEHEAD","BRONZE AGE","CORN","Nov15finds006.JPG","images/atyacke/"
748038,"DOR-0A6139","PENANNULAR RING","BRONZE AGE","DOR","DOR0A6139.jpg","images/caht/"
747580,"SF-E0D9C8","SHIELD","BRONZE AGE","SF","Shield1.jpg","images/abrown/"
746362,"DENO-4F12EB","FLAT AXEHEAD","BRONZE AGE","DENO","DENO4F12EB_ob_rev.jpg","images/helenglenn3/"
745732,"HAMP-F7B741","PENANNULAR RING","BRONZE AGE","HAMP","HAMPF7B741.jpg","images/khindshamp/"
743503,"CAM-E5D871","TORC","BRONZE AGE","CAM","torc2.jpg","images/hfowler/"
737254,"HAMP-5A5729","UNIDENTIFIED OBJECT","BRONZE AGE","HAMP","HAMP5A5729.jpg","images/khindshamp/"
733726,"WMID-244D11","SPEAR","BRONZE AGE","WMID","WMID244D11_XRay_2.jpg","images/hglenn/"
727558,"NMGW-04216C","HOARD","BRONZE AGE","NMGW","DH007017_01.jpg","images/mlodwick/"
726804,"LVPL-98EC5D","FLAT AXEHEAD","BRONZE AGE","LVPL","LVPL98EC5D.JPG","images/voakden/"
722074,"SWYOR-B50B30","PENANNULAR RING","BRONZE AGE","SWYOR","May_15_BA_Ring.jpg","images/acooper/"
713321,"PAS-5607C5","PENANNULAR RING","BRONZE AGE","PAS","00065433_001.JPG","images/ianr/"
712683,"WMID-175A38","PIN","BRONZE AGE","WMID","WMID175A38.jpg","images/hglenn/"
711146,"LIN-709481","TORC","BRONZE AGE","LIN","break_detail.jpg","images/adaubney/"
710588,"DOR-1B028B","PENANNULAR RING","BRONZE AGE","DOR","2015T193b.JPG","images/caht/"
706044,"PAS-65902F","BEAD","BRONZE AGE","PAS","PAS65902F.JPG","images/rwebley2/"
703464,"SUR-8A4184","PENANNULAR RING","BRONZE AGE","SUR","DSCF4056.JPG","images/dwilliams/"
702384,"YORYM-0DD2F7","PENANNULAR RING","BRONZE AGE","YORYM","2015T76.jpg","images/bmorris/"
701925,"BERK-F548E6","JEWELLERY","BRONZE AGE","BERK","2015T72_Image.jpg","images/abyard/"
662835,"CORN-6C605C","AXEHEAD","BRONZE AGE","CORN","May15finds106.JPG","images/atyacke/"
662085,"LVPL-2246C9","FLAT AXEHEAD","BRONZE AGE","LVPL","LVPL-2246C9.jpg","images/voakden/"
661489,"DOR-F80E39","PENANNULAR RING","BRONZE AGE","DOR","F80E39.jpg","images/caht/"
653805,"BH-1BE953","UNIDENTIFIED OBJECT","BRONZE AGE","BH","BA_gold_2014_T.JPG","images/jwatters/"
646848,"SUR-8F221C","PENANNULAR RING","BRONZE AGE","SUR","DSCF4923.JPG","images/dwilliams/"
645875,"HAMP-36C41B","RIBBON","BRONZE AGE","HAMP","HAMP-36C41B.jpg","images/khindshamp/"
643271,"NLM-129434","PENANNULAR RING","BRONZE AGE","NLM","NLM26534.jpg","images/mforeman/"
635795,"DUR-02828D","JEWELLERY","BRONZE AGE","DUR","Kirkhaugh2014goldornamentb.jpg","images/a8622912/"
634416,"IOW-397547","PENANNULAR RING","BRONZE AGE","IOW","2014 T593.JPG","images/fbasford/"
633152,"WILT-36F326","PENANNULAR RING","BRONZE AGE","WILT","WILT-36F326.jpg","images/jshoemark/"
631831,"NLM-9CECFC","RIBBON","BRONZE AGE","NLM","NLM25988.jpg","images/mforeman/"
629102,"DOR-FACB19","TORC","BRONZE AGE","DOR","FACB19.jpg","images/caht/"
628395,"NMGW-928F55","PENANNULAR RING","BRONZE AGE","NMGW","DH006009_03.jpg","images/mlodwick/"
627700,"BUC-4F6F59","BEAD","BRONZE AGE","BUC","DSCN8842.JPG","images/rtyrrell/"
627280,"GLO-E9EC16","HOARD","BRONZE AGE","GLO","2013T805group.jpg","images/kadams/"
622707,"ESS-00A993","HOARD","BRONZE AGE","ESS","2012T615rev.JPG","images/kmarsden/"
618508,"GLO-46CA05","BEAD","BRONZE AGE","GLO","GLO46CA05.jpg","images/kadams/"
616493,"CORN-3207B3","FLAT AXEHEAD","BRONZE AGE","CORN","May14finds052.JPG","images/atyacke/"
616207,"LEIC-1F1276","BRACELET","BRONZE AGE","LEIC","2014T303 LEIC-1F1276.jpg","images/wscott/"
614240,"DOR-2198F8","LUNULA","BRONZE AGE","DOR","2198F8Unedited.jpg","images/caht/"
614014,"CORN-0E9443","RIBBON","BRONZE AGE","CORN","April14finz081.JPG","images/atyacke/"
613749,"CORN-ECECE2","INGOT","BRONZE AGE","CORN","April14finz066.JPG","images/atyacke/"
613593,"WMID-E42FB1","FLAT AXEHEAD","BRONZE AGE","WMID","WMID-E42FB1_1.jpg","images/tgilmore/"
610590,"DOR-52C762","UNIDENTIFIED OBJECT","BRONZE AGE","DOR","52C762 temp.jpeg","images/caht/"
608583,"BERK-302CB3","DAGGER","BRONZE AGE","BERK","2013972.jpg","images/abyard/"
607742,"ESS-C0C162","PENANNULAR RING","BRONZE AGE","ESS","2014T193b.jpg","images/kmarsden/"
607067,"ESS-71DFE4","PENANNULAR RING","BRONZE AGE","ESS","2014T169c.JPG","images/kmarsden/"
604511,"CAM-5B1D08","PENANNULAR RING","BRONZE AGE","CAM","CAM-5B1D08.jpg","images/hfowler/"
604235,"PAS-446915","RIBBON","BRONZE AGE","PAS","2013T674c.JPG","images/ianr/"
599893,"BERK-387817","RIBBON","BRONZE AGE","BERK","2014T63_image.jpg","images/abyard/"
599772,"SF-2596D4","HOARD","BRONZE AGE","SF","BMF_SF-2596D4dwg(5).tif","images/fminter/"
598552,"NMS-A71FB2","BRACELET","BRONZE AGE","NMS","37697_A71FB2_BA_Bracelet.jpg","images/"
598149,"CORN-8EC344","MOUNT","BRONZE AGE","CORN","jan14finds90.JPG","images/atyacke/"
597687,"WILT-672904","UNIDENTIFIED OBJECT","BRONZE AGE","WILT","WILT-672904.jpg","images/rhenry2/"
594585,"IOW-0195D2","BRACELET","BRONZE AGE","IOW","2014 T15a.JPG","images/fbasford/"
593705,"NMS-ACBFA4","PENANNULAR RING","BRONZE AGE","NMS","59691_ACBFA4_BA_PenannularRing.jpg","images/edarch/"
593416,"NMS-6E2A74","RIBBON","BRONZE AGE","NMS","50533_6E2A74_BA_Ribbon.jpg","images/edarch/"
592533,"DOR-173265","PENDANT","BRONZE AGE","DOR","2006T380back.JPG","images/caht/"
590761,"ESS-1D0C48","INGOT","BRONZE AGE","ESS","2013T873c.JPG","images/kmarsden/"
590538,"HESH-092511","INGOT","BRONZE AGE","HESH","HESH-092511b.jpg","images/preavill/"
585063,"BH-D0CF18","PENANNULAR RING","BRONZE AGE","BH","BA_penannular_ring_2013_T739.jpg","images/jwatters/"
584925,"SUR-CC3000","TORC","BRONZE AGE","SUR","B13-646.JPG","images/dwilliams/"
584756,"NMS-B6E498","PENANNULAR RING","BRONZE AGE","NMS","58912_B6E498_BA_PenannularRing.jpg","images/"
584683,"SF-A6DEC7","PENANNULAR RING","BRONZE AGE","SF","BolnhurstSF-A6DEC7.jpg","images/fminter/"
584384,"LIN-908747","UNIDENTIFIED OBJECT","BRONZE AGE","LIN","2013_T714.jpg","images/adaubney/"
584061,"CORN-7ACDD7","FLAT AXEHEAD","BRONZE AGE","CORN","Nov2013objects 002.jpg","images/atyacke/"
578359,"WMID-94FA83","FLAT AXEHEAD","BRONZE AGE","WMID","WMID-94FA83.jpg","images/tgilmore/"
575874,"KENT-F381C6","PENANNULAR RING","BRONZE AGE","KENT","2013T554.jpg","images/jjackson/"
